"REGION","CANTON","PERIOD","VALUE","STATUS","OBS_COEF"
"6","7","2025-08","1.1","A","B"
"6","9","2025-08","2.6","A","B"
"7","Total","2025-08","2.6","A","A"
"7","21","2025-08","2.6","A","A"
"Total","Total","2025-07","2.7","A","A"
"1","Total","2025-07","4.1","A","A"
"1","22","2025-07","4.3","A","A"
"1","23","2025-07","2.8","A","A"
"1","25","2025-07","4.6","A","A"
"2","Total","2025-07","2.5","A","A"
"2","2","2025-07","1.9","R","A"
"2","10","2025-07","2.4","A","A"
"2","11","2025-07","3","A","A"
"2","24","2025-07","4.5","A","B"
"2","26","2025-07","5.2","R","B"
"3","Total","2025-07","3.2","A","A"
"3","12","2025-07","4.3","A","A"
"3","13","2025-07","2.6","A","A"
"3","19","2025-07","3.1","A","A"
"4","Total","2025-07","2.5","A","A"
"4","1","2025-07","2.5","A","A"
"5","Total","2025-07","1.9","A","A"
"5","8","2025-07","1.7","A","B"
"5","14","2025-07","2.8","A","B"
"5","15","2025-07","1.5","A","B"
"5","16","2025-07","0.9","A","C"
"5","17","2025-07","2","A","A"
"5","18","2025-07","1.1","A","A"
"5","20","2025-07","2.3","A","A"
"6","Total","2025-07","1.7","A","A"
"6","3","2025-07","1.9","A","A"
"6","4","2025-07","1","A","C"
"6","5","2025-07","1.1","A","B"
"6","6","2025-07","0.8","A","B"
"6","7","2025-07","1.1","A","B"
"6","9","2025-07","2.6","A","B"
"7","Total","2025-07","2.5","A","A"
"7","21","2025-07","2.5","A","A"
"Total","Total","2025-06","2.7","A","A"
"1","Total","2025-06","4","A","A"
"1","22","2025-06","4.2","A","A"
"1","23","2025-06","2.7","A","A"
"1","25","2025-06","4.5","A","A"
"2","Total","2025-06","2.5","A","A"
"2","2","2025-06","1.9","R","A"
"2","10","2025-06","2.4","A","A"
"2","11","2025-06","3","A","A"
"2","24","2025-06","4.3","A","B"
"2","26","2025-06","5","R","B"
"3","Total","2025-06","3.2","A","A"
"3","12","2025-06","4.1","A","A"
"3","13","2025-06","2.6","A","A"
"3","19","2025-06","3.1","A","A"
"4","Total","2025-06","2.5","A","A"
"4","1","2025-06","2.5","A","A"
"5","Total","2025-06","1.9","A","A"
"5","8","2025-06","1.7","A","B"
"5","14","2025-06","2.8","A","B"
"5","15","2025-06","1.4","A","B"
"5","16","2025-06","0.8","A","C"
"5","17","2025-06","1.9","A","A"
"5","18","2025-06","1.1","A","A"
"5","20","2025-06","2.3","A","A"
"6","Total","2025-06","1.7","A","A"
"6","3","2025-06","1.9","A","A"
"6","4","2025-06","1","A","C"
"6","5","2025-06","1.1","A","B"
"6","6","2025-06","0.9","A","B"
"6","7","2025-06","1.1","A","B"
"6","9","2025-06","2.5","A","B"
"7","Total","2025-06","2.4","A","A"
"7","21","2025-06","2.4","A","A"
"Total","Total","2025-05","2.7","A","A"
"1","Total","2025-05","4","A","A"
"1","22","2025-05","4.3","A","A"
"1","23","2025-05","2.8","A","A"
"1","25","2025-05","4.5","A","A"
"2","Total","2025-05","2.5","A","A"
"2","2","2025-05","2","R","A"
"2","10","2025-05","2.4","A","A"
"2","11","2025-05","2.9","A","A"
"2","24","2025-05","4.4","A","B"
"2","26","2025-05","4.9","R","B"
"3","Total","2025-05","3.2","A","A"
"3","12","2025-05","4.2","A","A"
"3","13","2025-05","2.7","A","A"
"3","19","2025-05","3.1","A","A"
"4","Total","2025-05","2.5","A","A"
"4","1","2025-05","2.5","A","A"
"5","Total","2025-05","1.9","A","A"
"5","8","2025-05","1.6","A","B"
"5","14","2025-05","2.8","A","B"
"5","15","2025-05","1.4","A","B"
"5","16","2025-05","0.7","A","C"
"5","17","2025-05","1.9","A","A"
"5","18","2025-05","1.3","A","A"
"5","20","2025-05","2.3","A","A"
"6","Total","2025-05","1.7","A","A"
"6","3","2025-05","1.9","A","A"
"6","4","2025-05","1","A","C"
"6","5","2025-05","1.1","A","B"
"6","6","2025-05","0.9","A","B"
"6","7","2025-05","1.1","A","B"
"6","9","2025-05","2.5","A","B"
"7","Total","2025-05","2.6","A","A"
"7","21","2025-05","2.6","A","A"
"Total","Total","2025-04","2.8","A","A"
"1","Total","2025-04","4.1","A","A"
"1","22","2025-04","4.3","A","A"
"1","23","2025-04","2.9","A","A"
"1","25","2025-04","4.6","A","A"
