date,ch.kof.consensus.q_qn_10yyield_12m.mean,ch.kof.consensus.q_qn_10yyield_3m.mean,ch.kof.consensus.q_qn_3minterest_12m.mean,ch.kof.consensus.q_qn_3minterest_3m.mean,ch.kof.consensus.q_qn_eurchf_12m.mean,ch.kof.consensus.q_qn_eurchf_3m.mean,ch.kof.consensus.q_qn_exports_cy.mean,ch.kof.consensus.q_qn_exports_ny.mean,ch.kof.consensus.q_qn_investbau_cy.mean,ch.kof.consensus.q_qn_investbau_ny.mean,ch.kof.consensus.q_qn_invest_cy.mean,ch.kof.consensus.q_qn_investequ_cy.mean,ch.kof.consensus.q_qn_investequ_ny.mean,ch.kof.consensus.q_qn_invest_ny.mean,ch.kof.consensus.q_qn_prices_5y.mean,ch.kof.consensus.q_qn_prices_cy.mean,ch.kof.consensus.q_qn_prices_ny.mean,ch.kof.consensus.q_qn_realgdp_5y.mean,ch.kof.consensus.q_qn_realgdp_cy.mean,ch.kof.consensus.q_qn_realgdp_ny.mean,ch.kof.consensus.q_qn_realgdpspea_5y.mean,ch.kof.consensus.q_qn_realgdpspea_cy.mean,ch.kof.consensus.q_qn_realgdpspea_ny.mean,ch.kof.consensus.q_qn_spi_12m.mean,ch.kof.consensus.q_qn_spi_3m.mean,ch.kof.consensus.q_qn_unemp_5y.mean,ch.kof.consensus.q_qn_unemp_cy.mean,ch.kof.consensus.q_qn_unemp_ny.mean,ch.kof.consensus.q_qn_usdchf_12m.mean,ch.kof.consensus.q_qn_usdchf_3m.mean
Apr 2011,2.41283333335,1.98031746033333,0.966031746047619,0.370393939409091,1.31721022427778,1.26879593721053,4.41333333335,4.145,NA,NA,3.80133333335,NA,NA,2.783,NA,0.952753623173913,1.39303030304545,NA,2.15971014491304,1.94,NA,NA,NA,6367.28571428571,6039.85714285714,NA,3.1759420290000002,2.92242424240909,0.933333333333333,0.875157894736842
Jul 2011,1.65294117647059,1.26555555555556,0.336052631578947,0.1193,1.19544444446667,1.1477777778,3.44033075533333,2.07693180383333,NA,NA,3.76051637683333,NA,NA,2.635594966,NA,0.57297255835,0.8538433779,NA,1.925679936,1.33866017355,NA,NA,NA,5463.16666666667,5110.72222225,NA,3.10301191668421,3.19991837515789,0.837666666666667,0.8117777778
Okt 2011,1.48308333335,1.06460317461905,0.262348484863636,0.0828260869565217,1.25625,1.23571428571429,2.93479166665,0.20125,NA,NA,3.22375,NA,NA,0.29895833335,NA,0.511594202913043,0.243478260869565,NA,1.73173913043478,0.571376811608696,NA,NA,NA,5766.66666669231,5379.48717946154,NA,3.13560606059091,3.41742424240909,0.9425,0.929444444428571
Jan 2012,1.35059523807143,0.900555555533333,0.216555555533333,0.0541666666875,1.24243589746154,1.21726190478571,0.6062183855,3.644464980625,NA,NA,1.03125,NA,NA,2.2177083333125,NA,-0.116717846111111,0.821049764823529,NA,0.426440229555556,1.54070908576471,NA,NA,NA,5903.272916625,5696.530819125,NA,3.31176470588235,3.3697916666875,0.953461538461538,0.935833333357143
Apr 2012,1.23638148146667,0.718107638875,0.215356209176471,0.0723765432222222,1.21918650792857,1.207517361125,0.7044890985625,3.150689081125,NA,NA,1.465444766,NA,NA,2.2828933114375,NA,-0.270633874055556,0.802558079235294,NA,1.00230916922222,1.497993217,NA,NA,NA,5747.54505054545,5491.46202018182,NA,3.24122222222222,3.30010457517647,0.961107142857143,0.957974074066667
Jul 2012,1.16411111111111,0.710736842105263,0.251070175421053,0.0692,1.2095625,1.20494117647059,0.395920345842105,2.55750206678947,NA,NA,1.28481826605263,NA,NA,1.86990492336842,NA,-0.334370048047619,0.722079979333333,NA,0.938237284714286,1.34782310461905,NA,NA,NA,6187.95055558333,5931.65083333333,NA,3.04196540495238,3.16961055028571,0.9851041666875,0.939879005235294
Okt 2012,1.04257407405556,0.668192982473684,0.13745,0.0625,1.2084166666875,1.20754901958824,0.248275172117647,2.17019261966667,NA,NA,0.958237710058824,NA,NA,1.31718610533333,NA,-0.514682098285714,0.517304994666667,NA,0.93947805525,1.22373757333333,NA,NA,NA,6542.38484845455,6314.349242,NA,2.9985472832,3.2636350897,0.9484375,0.935333333352941
Jan 2013,1.10765055555556,0.746358245631579,0.114141578947368,0.0461998245789474,1.2464195833125,1.22958117647059,2.65279111923529,4.02749554129412,NA,NA,1.93593703788235,NA,NA,2.74514014547059,NA,0.16644220235,0.741359815315789,NA,1.2187449466,1.66306890673684,NA,NA,NA,7232.16121209091,6994.48727272727,NA,3.19767092152632,3.22052398672222,0.9533867189375,0.925907308529412
Apr 2013,1.1343,0.763034013619048,0.109714285714286,0.0407207792272727,1.25571428573684,1.2437642857,1.65453351878947,3.70491622494737,NA,NA,0.950768960631579,NA,NA,2.17095697621053,NA,-0.0256085682727273,0.737289870809524,NA,1.33686883290909,1.71645933895238,NA,NA,NA,7606.54761908333,7314.28571425,NA,3.19162585033333,3.1923642857,0.995812030052632,0.98304285715
Jul 2013,1.45908571426316,1.09667823128571,0.163305442190476,0.0506720779090909,1.25400158727778,1.242956391,1.73113276947368,4.22178706042105,NA,NA,1.14346696968421,NA,NA,2.64731054873684,NA,-0.1770641045,0.522194102095238,NA,1.60618224640909,1.8961277132381,NA,NA,NA,7866.04395607692,7555.32967030769,NA,3.16101428571429,3.19150785715,0.9825459475,0.953120854315789
