"CubeId";"rendoblim"
"PublishingDate";"2025-09-01 14:29"

"Date";"D0";"Value"
"2020-06";"10J";"-0.439"
"2020-07";"5J";"-0.708"
"2020-07";"10J";"-0.529"
"2020-08";"5J";"-0.661"
"2020-08";"10J";"-0.41"
"2020-09";"5J";"-0.727"
"2020-09";"10J";"-0.5"
"2020-10";"5J";"-0.736"
"2020-10";"10J";"-0.518"
"2020-11";"5J";"-0.687"
"2020-11";"10J";"-0.509"
"2020-12";"5J";"-0.722"
"2020-12";"10J";"-0.525"
"2021-01";"5J";"-0.686"
"2021-01";"10J";"-0.454"
"2021-02";"5J";"-0.568"
"2021-02";"10J";"-0.229"
"2021-03";"5J";"-0.606"
"2021-03";"10J";"-0.267"
"2021-04";"5J";"-0.571"
"2021-04";"10J";"-0.21"
"2021-05";"5J";"-0.532"
"2021-05";"10J";"-0.134"
"2021-06";"5J";"-0.555"
"2021-06";"10J";"-0.2"
"2021-07";"5J";"-0.665"
"2021-07";"10J";"-0.373"
"2021-08";"5J";"-0.633"
"2021-08";"10J";"-0.347"
"2021-09";"5J";"-0.494"
"2021-09";"10J";"-0.166"
"2021-10";"5J";"-0.297"
"2021-10";"10J";"-0.046"
"2021-11";"5J";"-0.52"
"2021-11";"10J";"-0.234"
"2021-12";"5J";"-0.4"
"2021-12";"10J";"-0.127"
"2022-01";"5J";"-0.225"
"2022-01";"10J";"0.045"
"2022-02";"5J";"-0.047"
"2022-02";"10J";"0.263"
"2022-03";"5J";"0.313"
"2022-03";"10J";"0.677"
"2022-04";"5J";"0.431"
"2022-04";"10J";"0.824"
"2022-05";"5J";"0.353"
"2022-05";"10J";"0.779"
"2022-06";"5J";"0.633"
"2022-06";"10J";"1.149"
"2022-07";"5J";"0.148"
"2022-07";"10J";"0.52"
"2022-08";"5J";"0.66"
"2022-08";"10J";"0.786"
"2022-09";"5J";"0.932"
"2022-09";"10J";"1.163"
"2022-10";"5J";"0.812"
"2022-10";"10J";"1.12"
"2022-11";"5J";"0.95"
"2022-11";"10J";"1.055"
"2022-12";"5J";"1.424"
"2022-12";"10J";"1.565"
"2023-01";"5J";"1.105"
"2023-01";"10J";"1.257"
"2023-02";"5J";"1.345"
"2023-02";"10J";"1.446"
"2023-03";"5J";"1.166"
"2023-03";"10J";"1.227"
"2023-04";"5J";"0.98"
"2023-04";"10J";"1.08"
"2023-05";"5J";"0.775"
"2023-05";"10J";"0.848"
"2023-06";"5J";"1.009"
"2023-06";"10J";"0.966"
