"CubeId";"zimoma"
"PublishingDate";"2026-06-01 14:30"

"Date";"D0";"Value"
"2002-07";"3M0";"0.82167"
"2002-08";"SARON";"0.603556"
"2002-08";"3M0";"0.75167"
"2002-09";"SARON";"0.50856"
"2002-09";"3M0";"0.74833"
"2002-10";"SARON";"0.517184"
"2002-10";"3M0";"0.74333"
"2002-11";"SARON";"0.506908"
"2002-11";"3M0";"0.745"
"2002-12";"SARON";"0.362647"
"2002-12";"3M0";"0.61667"
"2003-01";"SARON";"0.486557"
"2003-01";"3M0";"0.60333"
"2003-02";"SARON";"0.562408"
"2003-02";"3M0";"0.57167"
"2003-03";"SARON";"0.177559"
"2003-03";"3M0";"0.31333"
"2003-04";"SARON";"0.094747"
"2003-04";"3M0";"0.30833"
"2003-05";"SARON";"0.13474"
"2003-05";"3M0";"0.28167"
"2003-06";"SARON";"0.14823"
"2003-06";"3M0";"0.28833"
"2003-07";"SARON";"0.111008"
"2003-07";"3M0";"0.28667"
"2003-08";"SARON";"0.053337"
"2003-08";"3M0";"0.26667"
"2003-09";"SARON";"0.145845"
"2003-09";"3M0";"0.25417"
"2003-10";"SARON";"0.113241"
"2003-10";"3M0";"0.24917"
"2003-11";"SARON";"0.117566"
"2003-11";"3M0";"0.26667"
"2003-12";"SARON";"0.126631"
"2003-12";"3M0";"0.26"
"2004-01";"SARON";"0.098549"
"2004-01";"3M0";"0.24667"
"2004-02";"SARON";"0.100093"
"2004-02";"3M0";"0.25833"
"2004-03";"SARON";"0.110365"
"2004-03";"3M0";"0.25"
"2004-04";"SARON";"0.108065"
"2004-04";"3M0";"0.27167"
"2004-05";"SARON";"0.112946"
"2004-05";"3M0";"0.26"
"2004-06";"SARON";"0.360676"
"2004-06";"3M0";"0.49833"
"2004-07";"SARON";"0.1953"
"2004-07";"3M0";"0.53"
"2004-08";"SARON";"0.173508"
"2004-08";"3M0";"0.62"
"2004-09";"SARON";"0.53447"
"2004-09";"3M0";"0.7"
"2004-10";"SARON";"0.63083"
"2004-10";"3M0";"0.72667"
"2004-11";"SARON";"0.503354"
"2004-11";"3M0";"0.74"
"2004-12";"SARON";"0.497394"
"2004-12";"3M0";"0.71667"
"2005-01";"SARON";"0.654176"
"2005-01";"3M0";"0.75"
"2005-02";"SARON";"0.67587"
"2005-02";"3M0";"0.75833"
"2005-03";"SARON";"0.809343"
"2005-03";"3M0";"0.775"
"2005-04";"SARON";"0.646173"
"2005-04";"3M0";"0.76"
"2005-05";"SARON";"0.665846"
"2005-05";"3M0";"0.75"
"2005-06";"SARON";"0.631008"
"2005-06";"3M0";"0.74833"
"2005-07";"SARON";"0.678098"
"2005-07";"3M0";"0.755"
"2005-08";"SARON";"0.677405"
"2005-08";"3M0";"0.76"
"2005-09";"SARON";"0.674366"
"2005-09";"3M0";"0.79"
"2005-10";"SARON";"0.673334"
"2005-10";"3M0";"0.85"
"2005-11";"SARON";"0.68404"
"2005-11";"3M0";"1.01"
"2005-12";"SARON";"0.609864"
"2005-12";"3M0";"1.01"
"2006-01";"SARON";"0.828563"
"2006-01";"3M0";"1.02417"
"2006-02";"SARON";"0.895374"
"2006-02";"3M0";"1.17583"
"2006-03";"SARON";"1.05294"
"2006-03";"3M0";"1.24917"
"2006-04";"SARON";"1.187275"
"2006-04";"3M0";"1.34"
