Division économique,Taux d'occupation,Sexe,Trimestre,"Emplois selon la division économique, le taux d'occupation et le sexe"
21 Industrie pharmaceutique,Temps partiel II,Femme,2008Q4,635
21 Industrie pharmaceutique,Temps partiel II,Femme,2009Q1,612
21 Industrie pharmaceutique,Temps partiel II,Femme,2009Q2,633
21 Industrie pharmaceutique,Temps partiel II,Femme,2009Q3,606
21 Industrie pharmaceutique,Temps partiel II,Femme,2009Q4,577
21 Industrie pharmaceutique,Temps partiel II,Femme,2010Q1,604
21 Industrie pharmaceutique,Temps partiel II,Femme,2010Q2,596
21 Industrie pharmaceutique,Temps partiel II,Femme,2010Q3,600
21 Industrie pharmaceutique,Temps partiel II,Femme,2010Q4,586
21 Industrie pharmaceutique,Temps partiel II,Femme,2011Q1,584
21 Industrie pharmaceutique,Temps partiel II,Femme,2011Q2,605
21 Industrie pharmaceutique,Temps partiel II,Femme,2011Q3,596
21 Industrie pharmaceutique,Temps partiel II,Femme,2011Q4,591
21 Industrie pharmaceutique,Temps partiel II,Femme,2012Q1,690
21 Industrie pharmaceutique,Temps partiel II,Femme,2012Q2,693
21 Industrie pharmaceutique,Temps partiel II,Femme,2012Q3,680
21 Industrie pharmaceutique,Temps partiel II,Femme,2012Q4,693
21 Industrie pharmaceutique,Temps partiel II,Femme,2013Q1,672
21 Industrie pharmaceutique,Temps partiel II,Femme,2013Q2,644
21 Industrie pharmaceutique,Temps partiel II,Femme,2013Q3,649
21 Industrie pharmaceutique,Temps partiel II,Femme,2013Q4,652
21 Industrie pharmaceutique,Temps partiel II,Femme,2014Q1,638
21 Industrie pharmaceutique,Temps partiel II,Femme,2014Q2,640
21 Industrie pharmaceutique,Temps partiel II,Femme,2014Q3,645
21 Industrie pharmaceutique,Temps partiel II,Femme,2014Q4,662
21 Industrie pharmaceutique,Temps partiel II,Femme,2015Q1,665
21 Industrie pharmaceutique,Temps partiel II,Femme,2015Q2,656
21 Industrie pharmaceutique,Temps partiel II,Femme,2015Q3,648
21 Industrie pharmaceutique,Temps partiel II,Femme,2015Q4,611
21 Industrie pharmaceutique,Temps partiel II,Femme,2016Q1,616
21 Industrie pharmaceutique,Temps partiel II,Femme,2016Q2,644
21 Industrie pharmaceutique,Temps partiel II,Femme,2016Q3,715
21 Industrie pharmaceutique,Temps partiel II,Femme,2016Q4,646
21 Industrie pharmaceutique,Temps partiel II,Femme,2017Q1,686
21 Industrie pharmaceutique,Temps partiel II,Femme,2017Q2,708
21 Industrie pharmaceutique,Temps partiel II,Femme,2017Q3,681
21 Industrie pharmaceutique,Temps partiel II,Femme,2017Q4,705
21 Industrie pharmaceutique,Temps partiel II,Femme,2018Q1,639
21 Industrie pharmaceutique,Temps partiel II,Femme,2018Q2,581
21 Industrie pharmaceutique,Temps partiel II,Femme,2018Q3,544
21 Industrie pharmaceutique,Temps partiel II,Femme,2018Q4,547
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2005Q2,58
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2005Q3,62
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2005Q4,62
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2006Q1,62
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2006Q2,64
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2006Q3,65
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2006Q4,64
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2007Q1,65
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2007Q2,66
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2007Q3,67
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2007Q4,67
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2008Q1,68
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2008Q2,70
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2008Q3,70
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2008Q4,71
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2009Q1,70
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2009Q2,71
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2009Q3,72
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2009Q4,72
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2010Q1,74
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2010Q2,74
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2010Q3,75
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2010Q4,76
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2011Q1,76
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2011Q2,78
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2011Q3,78
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2011Q4,77
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2012Q1,80
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2012Q2,81
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2012Q3,81
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2012Q4,80
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2013Q1,81
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2013Q2,82
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2013Q3,83
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2013Q4,83
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2014Q1,84
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2014Q2,85
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2014Q3,85
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2014Q4,85
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2015Q1,87
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2015Q2,87
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2015Q3,73
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2015Q4,78
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2016Q1,72
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2016Q2,81
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2016Q3,125
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2016Q4,84
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2017Q1,80
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2017Q2,45
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2017Q3,41
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2017Q4,93
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2018Q1,86
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2018Q2,86
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2018Q3,77
21 Industrie pharmaceutique,Temps partiel III,Sexe - total,2018Q4,97
21 Industrie pharmaceutique,Temps partiel III,Homme,2005Q2,16
21 Industrie pharmaceutique,Temps partiel III,Homme,2005Q3,17
21 Industrie pharmaceutique,Temps partiel III,Homme,2005Q4,17
21 Industrie pharmaceutique,Temps partiel III,Homme,2006Q1,17
21 Industrie pharmaceutique,Temps partiel III,Homme,2006Q2,17
21 Industrie pharmaceutique,Temps partiel III,Homme,2006Q3,17
21 Industrie pharmaceutique,Temps partiel III,Homme,2006Q4,17
21 Industrie pharmaceutique,Temps partiel III,Homme,2007Q1,17
21 Industrie pharmaceutique,Temps partiel III,Homme,2007Q2,18
21 Industrie pharmaceutique,Temps partiel III,Homme,2007Q3,18
21 Industrie pharmaceutique,Temps partiel III,Homme,2007Q4,18
21 Industrie pharmaceutique,Temps partiel III,Homme,2008Q1,18
21 Industrie pharmaceutique,Temps partiel III,Homme,2008Q2,18
21 Industrie pharmaceutique,Temps partiel III,Homme,2008Q3,18
21 Industrie pharmaceutique,Temps partiel III,Homme,2008Q4,18
21 Industrie pharmaceutique,Temps partiel III,Homme,2009Q1,18
21 Industrie pharmaceutique,Temps partiel III,Homme,2009Q2,18
21 Industrie pharmaceutique,Temps partiel III,Homme,2009Q3,19
21 Industrie pharmaceutique,Temps partiel III,Homme,2009Q4,19
21 Industrie pharmaceutique,Temps partiel III,Homme,2010Q1,19
21 Industrie pharmaceutique,Temps partiel III,Homme,2010Q2,19
21 Industrie pharmaceutique,Temps partiel III,Homme,2010Q3,19
21 Industrie pharmaceutique,Temps partiel III,Homme,2010Q4,20
21 Industrie pharmaceutique,Temps partiel III,Homme,2011Q1,20
21 Industrie pharmaceutique,Temps partiel III,Homme,2011Q2,20
21 Industrie pharmaceutique,Temps partiel III,Homme,2011Q3,20
21 Industrie pharmaceutique,Temps partiel III,Homme,2011Q4,20
21 Industrie pharmaceutique,Temps partiel III,Homme,2012Q1,20
21 Industrie pharmaceutique,Temps partiel III,Homme,2012Q2,20
21 Industrie pharmaceutique,Temps partiel III,Homme,2012Q3,20
21 Industrie pharmaceutique,Temps partiel III,Homme,2012Q4,20
21 Industrie pharmaceutique,Temps partiel III,Homme,2013Q1,20
21 Industrie pharmaceutique,Temps partiel III,Homme,2013Q2,21
21 Industrie pharmaceutique,Temps partiel III,Homme,2013Q3,21
21 Industrie pharmaceutique,Temps partiel III,Homme,2013Q4,21
21 Industrie pharmaceutique,Temps partiel III,Homme,2014Q1,21
21 Industrie pharmaceutique,Temps partiel III,Homme,2014Q2,21
21 Industrie pharmaceutique,Temps partiel III,Homme,2014Q3,21
21 Industrie pharmaceutique,Temps partiel III,Homme,2014Q4,21
21 Industrie pharmaceutique,Temps partiel III,Homme,2015Q1,22
21 Industrie pharmaceutique,Temps partiel III,Homme,2015Q2,22
21 Industrie pharmaceutique,Temps partiel III,Homme,2015Q3,20
21 Industrie pharmaceutique,Temps partiel III,Homme,2015Q4,20
21 Industrie pharmaceutique,Temps partiel III,Homme,2016Q1,17
21 Industrie pharmaceutique,Temps partiel III,Homme,2016Q2,18
21 Industrie pharmaceutique,Temps partiel III,Homme,2016Q3,47
21 Industrie pharmaceutique,Temps partiel III,Homme,2016Q4,23
21 Industrie pharmaceutique,Temps partiel III,Homme,2017Q1,21
21 Industrie pharmaceutique,Temps partiel III,Homme,2017Q2,19
21 Industrie pharmaceutique,Temps partiel III,Homme,2017Q3,19
21 Industrie pharmaceutique,Temps partiel III,Homme,2017Q4,34
21 Industrie pharmaceutique,Temps partiel III,Homme,2018Q1,32
21 Industrie pharmaceutique,Temps partiel III,Homme,2018Q2,33
21 Industrie pharmaceutique,Temps partiel III,Homme,2018Q3,29
21 Industrie pharmaceutique,Temps partiel III,Homme,2018Q4,31
21 Industrie pharmaceutique,Temps partiel III,Femme,2005Q2,42
21 Industrie pharmaceutique,Temps partiel III,Femme,2005Q3,45
21 Industrie pharmaceutique,Temps partiel III,Femme,2005Q4,45
21 Industrie pharmaceutique,Temps partiel III,Femme,2006Q1,45
21 Industrie pharmaceutique,Temps partiel III,Femme,2006Q2,47
21 Industrie pharmaceutique,Temps partiel III,Femme,2006Q3,48
21 Industrie pharmaceutique,Temps partiel III,Femme,2006Q4,47
21 Industrie pharmaceutique,Temps partiel III,Femme,2007Q1,47
21 Industrie pharmaceutique,Temps partiel III,Femme,2007Q2,49
21 Industrie pharmaceutique,Temps partiel III,Femme,2007Q3,50
21 Industrie pharmaceutique,Temps partiel III,Femme,2007Q4,49
21 Industrie pharmaceutique,Temps partiel III,Femme,2008Q1,50
21 Industrie pharmaceutique,Temps partiel III,Femme,2008Q2,52
21 Industrie pharmaceutique,Temps partiel III,Femme,2008Q3,52
21 Industrie pharmaceutique,Temps partiel III,Femme,2008Q4,52
21 Industrie pharmaceutique,Temps partiel III,Femme,2009Q1,52
21 Industrie pharmaceutique,Temps partiel III,Femme,2009Q2,53
21 Industrie pharmaceutique,Temps partiel III,Femme,2009Q3,53
21 Industrie pharmaceutique,Temps partiel III,Femme,2009Q4,53
21 Industrie pharmaceutique,Temps partiel III,Femme,2010Q1,55
21 Industrie pharmaceutique,Temps partiel III,Femme,2010Q2,55
21 Industrie pharmaceutique,Temps partiel III,Femme,2010Q3,56
21 Industrie pharmaceutique,Temps partiel III,Femme,2010Q4,56
21 Industrie pharmaceutique,Temps partiel III,Femme,2011Q1,57
21 Industrie pharmaceutique,Temps partiel III,Femme,2011Q2,58
21 Industrie pharmaceutique,Temps partiel III,Femme,2011Q3,58
21 Industrie pharmaceutique,Temps partiel III,Femme,2011Q4,57
21 Industrie pharmaceutique,Temps partiel III,Femme,2012Q1,60
21 Industrie pharmaceutique,Temps partiel III,Femme,2012Q2,60
21 Industrie pharmaceutique,Temps partiel III,Femme,2012Q3,60
21 Industrie pharmaceutique,Temps partiel III,Femme,2012Q4,60
21 Industrie pharmaceutique,Temps partiel III,Femme,2013Q1,61
21 Industrie pharmaceutique,Temps partiel III,Femme,2013Q2,62
21 Industrie pharmaceutique,Temps partiel III,Femme,2013Q3,63
21 Industrie pharmaceutique,Temps partiel III,Femme,2013Q4,62
21 Industrie pharmaceutique,Temps partiel III,Femme,2014Q1,63
21 Industrie pharmaceutique,Temps partiel III,Femme,2014Q2,64
21 Industrie pharmaceutique,Temps partiel III,Femme,2014Q3,64
21 Industrie pharmaceutique,Temps partiel III,Femme,2014Q4,64
21 Industrie pharmaceutique,Temps partiel III,Femme,2015Q1,65
21 Industrie pharmaceutique,Temps partiel III,Femme,2015Q2,65
21 Industrie pharmaceutique,Temps partiel III,Femme,2015Q3,53
21 Industrie pharmaceutique,Temps partiel III,Femme,2015Q4,58
21 Industrie pharmaceutique,Temps partiel III,Femme,2016Q1,55
21 Industrie pharmaceutique,Temps partiel III,Femme,2016Q2,63
21 Industrie pharmaceutique,Temps partiel III,Femme,2016Q3,78
21 Industrie pharmaceutique,Temps partiel III,Femme,2016Q4,62
21 Industrie pharmaceutique,Temps partiel III,Femme,2017Q1,59
21 Industrie pharmaceutique,Temps partiel III,Femme,2017Q2,26
21 Industrie pharmaceutique,Temps partiel III,Femme,2017Q3,22
21 Industrie pharmaceutique,Temps partiel III,Femme,2017Q4,59
21 Industrie pharmaceutique,Temps partiel III,Femme,2018Q1,54
21 Industrie pharmaceutique,Temps partiel III,Femme,2018Q2,53
21 Industrie pharmaceutique,Temps partiel III,Femme,2018Q3,48
21 Industrie pharmaceutique,Temps partiel III,Femme,2018Q4,66
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2005Q2,30799
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2005Q3,32093
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2005Q4,32213
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2006Q1,32405
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2006Q2,33160
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2006Q3,33448
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2006Q4,33649
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2007Q1,33852
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2007Q2,34171
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2007Q3,34552
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2007Q4,34697
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2008Q1,35237
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2008Q2,35903
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2008Q3,36096
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2008Q4,36306
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2009Q1,36245
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2009Q2,36284
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2009Q3,36583
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2009Q4,36830
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2010Q1,37749
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2010Q2,37582
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2010Q3,38219
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2010Q4,38876
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2011Q1,38989
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2011Q2,39380
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2011Q3,39432
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2011Q4,39318
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2012Q1,40909
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2012Q2,40741
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2012Q3,40880
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2012Q4,40792
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2013Q1,41131
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2013Q2,41522
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2013Q3,41997
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2013Q4,42130
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2014Q1,42424
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2014Q2,42513
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2014Q3,42752
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2014Q4,43025
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2015Q1,43570
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2015Q2,43902
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2015Q3,43862
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2015Q4,44364
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2016Q1,44471
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2016Q2,44572
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2016Q3,45210
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2016Q4,44502
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2017Q1,45618
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2017Q2,45910
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2017Q3,46383
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2017Q4,46638
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2018Q1,46555
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2018Q2,46699
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2018Q3,46790
21 Industrie pharmaceutique,"Total,désaisonnalisé",Sexe - total,2018Q4,46672
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2005Q2,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2005Q3,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2005Q4,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2006Q1,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2006Q2,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2006Q3,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2006Q4,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2007Q1,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2007Q2,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2007Q3,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2007Q4,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2008Q1,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2008Q2,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2008Q3,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2008Q4,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2009Q1,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2009Q2,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2009Q3,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2009Q4,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2010Q1,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2010Q2,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2010Q3,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2010Q4,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2011Q1,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2011Q2,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2011Q3,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2011Q4,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2012Q1,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2012Q2,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2012Q3,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2012Q4,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2013Q1,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2013Q2,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2013Q3,NA
21 Industrie pharmaceutique,"Total,désaisonnalisé",Homme,2013Q4,NA
