structure,type,seas_adj,date,value
gva,nom,csa,1999-01-01,107206.578174944
gva,nom,csa,1999-04-01,107918.625408323
gva,nom,csa,1999-07-01,108817.645443317
gva,nom,csa,1999-10-01,111295.235397972
gva,nom,csa,2000-01-01,112274.22770204
gva,nom,csa,2000-04-01,113064.911873356
gva,nom,csa,2000-07-01,114421.240173885
gva,nom,csa,2000-10-01,116381.841969886
gva,nom,csa,2001-01-01,117010.434438254
gva,nom,csa,2001-04-01,117756.328674351
gva,nom,csa,2001-07-01,117712.47759713
gva,nom,csa,2001-10-01,117626.601062728
gva,nom,csa,2002-01-01,117343.595954107
gva,nom,csa,2002-04-01,118022.390033482
gva,nom,csa,2002-07-01,118302.478557643
gva,nom,csa,2002-10-01,117731.477342412
gva,nom,csa,2003-01-01,117552.18824633
gva,nom,csa,2003-04-01,118058.849753311
gva,nom,csa,2003-07-01,119286.549139467
gva,nom,csa,2003-10-01,120626.921744813
gva,nom,csa,2004-01-01,121348.427647443
gva,nom,csa,2004-04-01,122203.075081837
gva,nom,csa,2004-07-01,122428.217031588
gva,nom,csa,2004-10-01,123144.692177839
gva,nom,csa,2005-01-01,124506.350063249
gva,nom,csa,2005-04-01,126313.770092419
gva,nom,csa,2005-07-01,128152.150602232
gva,nom,csa,2005-10-01,130078.725712689
gva,nom,csa,2006-01-01,132537.733597635
gva,nom,csa,2006-04-01,134350.977013507
gva,nom,csa,2006-07-01,135816.523519979
gva,nom,csa,2006-10-01,138692.093003115
gva,nom,csa,2007-01-01,140867.566214712
gva,nom,csa,2007-04-01,143536.842657417
gva,nom,csa,2007-07-01,145384.488717501
gva,nom,csa,2007-10-01,147130.91463467
gva,nom,csa,2008-01-01,148568.038663709
gva,nom,csa,2008-04-01,150755.103095101
gva,nom,csa,2008-07-01,151482.246785975
gva,nom,csa,2008-10-01,148641.922160918
gva,nom,csa,2009-01-01,146467.107620355
gva,nom,csa,2009-04-01,147031.504241362
gva,nom,csa,2009-07-01,148581.55939027
gva,nom,csa,2009-10-01,149632.24087583
gva,nom,csa,2010-01-01,151423.143416718
gva,nom,csa,2010-04-01,152940.540521906
gva,nom,csa,2010-07-01,153670.173080265
gva,nom,csa,2010-10-01,155059.819967906
gva,nom,csa,2011-01-01,155504.809334578
gva,nom,csa,2011-04-01,156289.601434066
gva,nom,csa,2011-07-01,155436.151361672
gva,nom,csa,2011-10-01,156033.999621208
gva,nom,csa,2012-01-01,157161.719608649
gva,nom,csa,2012-04-01,157731.981047457
gva,nom,csa,2012-07-01,159328.672882241
gva,nom,csa,2012-10-01,159341.886891522
gva,nom,csa,2013-01-01,159809.67687176
gva,nom,csa,2013-04-01,161006.747803753
gva,nom,csa,2013-07-01,162002.106181033
gva,nom,csa,2013-10-01,162399.017739025
gva,nom,csa,2014-01-01,163265.380257977
gva,nom,csa,2014-04-01,164535.814224274
gva,nom,csa,2014-07-01,164783.222445002
gva,nom,csa,2014-10-01,164895.419986192
gva,nom,csa,2015-01-01,164253.440337389
gva,nom,csa,2015-04-01,163985.413676192
gva,nom,csa,2015-07-01,164647.686330712
gva,nom,csa,2015-10-01,165351.057502937
gva,nom,csa,2016-01-01,166049.589076067
gva,nom,csa,2016-04-01,166984.288082498
gva,nom,csa,2016-07-01,167748.560650313
gva,nom,csa,2016-10-01,167157.069156826
gva,nom,csa,2017-01-01,166639.952984357
gva,nom,csa,2017-04-01,167682.763637676
gva,nom,csa,2017-07-01,169163.327146093
